,time,glacier_number,glacier_name,katabaticity,u_obs,u_lin_response,u_lin_regression,u_era5,u_lin_response_era5,sensitivity,delay
0,0,0,arolla,0.08071811530330571,0.01946801156360012,0,0,-0.2890540765972809,-0.19120266949715997,0,0
1,1,0,arolla,0.08071811530330571,-0.07283968074409275,0,0,-0.2775726838658855,-0.2545013567462121,0,0
2,2,0,arolla,0.08071811530330571,-0.24110891151332314,0,0,-0.2559243494310597,-0.3082360834041046,0,0
3,3,0,arolla,0.08071811530330571,0.004083396178984344,0,0,-0.24422896404952277,-0.35693601660494195,0,0
4,4,0,arolla,0.08071811530330571,-0.11226275766716975,0,0,-0.23104364059219873,-0.4360513001719645,0,0
5,5,0,arolla,0.08071811530330571,-0.37957044997486156,0,0,-0.2418042545934317,-0.6303980705063141,0,0
6,6,0,arolla,0.08071811530330571,-0.6853396807440921,0,0,-0.17320671804572252,-0.6667680625585735,0,0
7,7,0,arolla,0.08071811530330571,-0.615147373051784,0,0,0.003773158379099084,-0.3833165906450025,0,0
8,8,0,arolla,0.08071811530330571,-0.48822429612870843,0,0,0.18602148924498685,-0.1619191501878738,0,0
9,9,0,arolla,0.08071811530330571,-0.14783968074409204,0,0,0.3044614950373682,0.037758324627158085,0,0
10,10,0,arolla,0.08071811530330571,0.13292955002513818,0,0,0.3700109997509956,0.16972842487217132,0,0
11,11,0,arolla,0.08071811530330571,0.3290833961789845,0,0,0.44092177377621,0.31144968812451973,0,0
12,12,0,arolla,0.08071811530330571,0.6588910884866768,0,0,0.47697612307944326,0.39050715787945073,0,0
13,13,0,arolla,0.08071811530330571,0.9108141654097541,0,0,0.4600810493879698,0.4341807254153248,0,0
14,14,0,arolla,0.08071811530330571,1.0011987807943687,0,0,0.43014134807934623,0.47397643182916877,0,0
15,15,0,arolla,0.08071811530330571,0.8790833961789848,0,0,0.33054776218949644,0.44319603290233095,0,0
16,16,0,arolla,0.08071811530330571,0.5867757038712926,0,0,0.19626309988106072,0.4012551849295479,0,0
17,17,0,arolla,0.08071811530330571,0.28966031925590796,0,0,0.017717352308104672,0.3450591759557514,0,0
18,18,0,arolla,0.08071811530330571,-0.5199550653594773,0,0,-0.11637846092910864,0.2559089753370363,0,0
19,19,0,arolla,0.08071811530330571,-0.5786089115133235,0,0,-0.21523519290711235,0.19053007487907409,0,0
20,20,0,arolla,0.08071811530330571,-0.6055319884363999,0,0,-0.27000179946702896,0.09594043082458742,0,0
21,21,0,arolla,0.08071811530330571,-0.19058100804424338,0,0,-0.3028793502150974,0.021145007496289697,0,0
22,22,0,arolla,0.08071811530330571,-0.1415614002011063,0,0,-0.29753902947748256,-0.06232127677993954,0,0
23,23,0,arolla,0.08071811530330571,-0.0334166038210153,0,0,-0.30204713094315105,-0.11898505797032352,0,0
24,24,0,arolla,0.08071811530330571,0.01946801156360012,0,0,-0.2890540765972809,-0.19120266949715997,0,0
25,25,0,arolla,0.08071811530330571,-0.07283968074409275,0,0,-0.2775726838658855,-0.2545013567462121,0,0
26,26,0,arolla,0.08071811530330571,-0.24110891151332314,0,0,-0.2559243494310597,-0.3082360834041046,0,0
27,27,0,arolla,0.08071811530330571,0.004083396178984344,0,0,-0.24422896404952277,-0.35693601660494195,0,0
28,28,0,arolla,0.08071811530330571,-0.11226275766716975,0,0,-0.23104364059219873,-0.4360513001719645,0,0
29,29,0,arolla,0.08071811530330571,-0.37957044997486156,0,0,-0.2418042545934317,-0.6303980705063141,0,0
30,30,0,arolla,0.08071811530330571,-0.6853396807440921,0,0,-0.17320671804572252,-0.6667680625585735,0,0
31,31,0,arolla,0.08071811530330571,-0.615147373051784,0,0,0.003773158379099084,-0.3833165906450025,0,0
32,32,0,arolla,0.08071811530330571,-0.48822429612870843,0,0,0.18602148924498685,-0.1619191501878738,0,0
33,33,0,arolla,0.08071811530330571,-0.14783968074409204,0,0,0.3044614950373682,0.037758324627158085,0,0
34,34,0,arolla,0.08071811530330571,0.13292955002513818,0,0,0.3700109997509956,0.16972842487217132,0,0
35,35,0,arolla,0.08071811530330571,0.3290833961789845,0,0,0.44092177377621,0.31144968812451973,0,0
36,36,0,arolla,0.08071811530330571,0.6588910884866768,0,0,0.47697612307944326,0.39050715787945073,0,0
37,37,0,arolla,0.08071811530330571,0.9108141654097541,0,0,0.4600810493879698,0.4341807254153248,0,0
38,38,0,arolla,0.08071811530330571,1.0011987807943687,0,0,0.43014134807934623,0.47397643182916877,0,0
39,39,0,arolla,0.08071811530330571,0.8790833961789848,0,0,0.33054776218949644,0.44319603290233095,0,0
40,40,0,arolla,0.08071811530330571,0.5867757038712926,0,0,0.19626309988106072,0.4012551849295479,0,0
41,41,0,arolla,0.08071811530330571,0.28966031925590796,0,0,0.017717352308104672,0.3450591759557514,0,0
42,42,0,arolla,0.08071811530330571,-0.5199550653594773,0,0,-0.11637846092910864,0.2559089753370363,0,0
43,43,0,arolla,0.08071811530330571,-0.5786089115133235,0,0,-0.21523519290711235,0.19053007487907409,0,0
44,44,0,arolla,0.08071811530330571,-0.6055319884363999,0,0,-0.27000179946702896,0.09594043082458742,0,0
45,45,0,arolla,0.08071811530330571,-0.19058100804424338,0,0,-0.3028793502150974,0.021145007496289697,0,0
46,46,0,arolla,0.08071811530330571,-0.1415614002011063,0,0,-0.29753902947748256,-0.06232127677993954,0,0
47,47,0,arolla,0.08071811530330571,-0.0334166038210153,0,0,-0.30204713094315105,-0.11898505797032352,0,0
48,48,0,arolla,0.08071811530330571,0.01946801156360012,0,0,-0.2890540765972809,-0.19120266949715997,0,0
49,49,0,arolla,0.08071811530330571,-0.07283968074409275,0,0,-0.2775726838658855,-0.2545013567462121,0,0
50,50,0,arolla,0.08071811530330571,-0.24110891151332314,0,0,-0.2559243494310597,-0.3082360834041046,0,0
51,51,0,arolla,0.08071811530330571,0.004083396178984344,0,0,-0.24422896404952277,-0.35693601660494195,0,0
52,52,0,arolla,0.08071811530330571,-0.11226275766716975,0,0,-0.23104364059219873,-0.4360513001719645,0,0
53,53,0,arolla,0.08071811530330571,-0.37957044997486156,0,0,-0.2418042545934317,-0.6303980705063141,0,0
54,54,0,arolla,0.08071811530330571,-0.6853396807440921,0,0,-0.17320671804572252,-0.6667680625585735,0,0
55,55,0,arolla,0.08071811530330571,-0.615147373051784,0,0,0.003773158379099084,-0.3833165906450025,0,0
56,56,0,arolla,0.08071811530330571,-0.48822429612870843,0,0,0.18602148924498685,-0.1619191501878738,0,0
57,57,0,arolla,0.08071811530330571,-0.14783968074409204,0,0,0.3044614950373682,0.037758324627158085,0,0
58,58,0,arolla,0.08071811530330571,0.13292955002513818,0,0,0.3700109997509956,0.16972842487217132,0,0
59,59,0,arolla,0.08071811530330571,0.3290833961789845,0,0,0.44092177377621,0.31144968812451973,0,0
60,60,0,arolla,0.08071811530330571,0.6588910884866768,0,0,0.47697612307944326,0.39050715787945073,0,0
61,61,0,arolla,0.08071811530330571,0.9108141654097541,0,0,0.4600810493879698,0.4341807254153248,0,0
62,62,0,arolla,0.08071811530330571,1.0011987807943687,0,0,0.43014134807934623,0.47397643182916877,0,0
63,63,0,arolla,0.08071811530330571,0.8790833961789848,0,0,0.33054776218949644,0.44319603290233095,0,0
64,64,0,arolla,0.08071811530330571,0.5867757038712926,0,0,0.19626309988106072,0.4012551849295479,0,0
65,65,0,arolla,0.08071811530330571,0.28966031925590796,0,0,0.017717352308104672,0.3450591759557514,0,0
66,66,0,arolla,0.08071811530330571,-0.5199550653594773,0,0,-0.11637846092910864,0.2559089753370363,0,0
67,67,0,arolla,0.08071811530330571,-0.5786089115133235,0,0,-0.21523519290711235,0.19053007487907409,0,0
68,68,0,arolla,0.08071811530330571,-0.6055319884363999,0,0,-0.27000179946702896,0.09594043082458742,0,0
69,69,0,arolla,0.08071811530330571,-0.19058100804424338,0,0,-0.3028793502150974,0.021145007496289697,0,0
70,70,0,arolla,0.08071811530330571,-0.1415614002011063,0,0,-0.29753902947748256,-0.06232127677993954,0,0
71,71,0,arolla,0.08071811530330571,-0.0334166038210153,0,0,-0.30204713094315105,-0.11898505797032352,0,0
72,72,0,arolla,0.08071811530330571,0.01946801156360012,0,0,-0.2890540765972809,-0.19120266949715997,0,0
73,73,0,arolla,0.08071811530330571,-0.07283968074409275,0,0,-0.2775726838658855,-0.2545013567462121,0,0
74,74,0,arolla,0.08071811530330571,-0.24110891151332314,0,0,-0.2559243494310597,-0.3082360834041046,0,0
75,75,0,arolla,0.08071811530330571,0.004083396178984344,0,0,-0.24422896404952277,-0.35693601660494195,0,0
76,76,0,arolla,0.08071811530330571,-0.11226275766716975,0,0,-0.23104364059219873,-0.4360513001719645,0,0
77,77,0,arolla,0.08071811530330571,-0.37957044997486156,0,0,-0.2418042545934317,-0.6303980705063141,0,0
78,78,0,arolla,0.08071811530330571,-0.6853396807440921,0,0,-0.17320671804572252,-0.6667680625585735,0,0
79,79,0,arolla,0.08071811530330571,-0.615147373051784,0,0,0.003773158379099084,-0.3833165906450025,0,0
80,80,0,arolla,0.08071811530330571,-0.48822429612870843,0,0,0.18602148924498685,-0.1619191501878738,0,0
81,81,0,arolla,0.08071811530330571,-0.14783968074409204,0,0,0.3044614950373682,0.037758324627158085,0,0
82,82,0,arolla,0.08071811530330571,0.13292955002513818,0,0,0.3700109997509956,0.16972842487217132,0,0
83,83,0,arolla,0.08071811530330571,0.3290833961789845,0,0,0.44092177377621,0.31144968812451973,0,0
84,84,0,arolla,0.08071811530330571,0.6588910884866768,0,0,0.47697612307944326,0.39050715787945073,0,0
85,85,0,arolla,0.08071811530330571,0.9108141654097541,0,0,0.4600810493879698,0.4341807254153248,0,0
86,86,0,arolla,0.08071811530330571,1.0011987807943687,0,0,0.43014134807934623,0.47397643182916877,0,0
87,87,0,arolla,0.08071811530330571,0.8790833961789848,0,0,0.33054776218949644,0.44319603290233095,0,0
88,88,0,arolla,0.08071811530330571,0.5867757038712926,0,0,0.19626309988106072,0.4012551849295479,0,0
89,89,0,arolla,0.08071811530330571,0.28966031925590796,0,0,0.017717352308104672,0.3450591759557514,0,0
90,90,0,arolla,0.08071811530330571,-0.5199550653594773,0,0,-0.11637846092910864,0.2559089753370363,0,0
91,91,0,arolla,0.08071811530330571,-0.5786089115133235,0,0,-0.21523519290711235,0.19053007487907409,0,0
92,92,0,arolla,0.08071811530330571,-0.6055319884363999,0,0,-0.27000179946702896,0.09594043082458742,0,0
93,93,0,arolla,0.08071811530330571,-0.19058100804424338,0,0,-0.3028793502150974,0.021145007496289697,0,0
94,94,0,arolla,0.08071811530330571,-0.1415614002011063,0,0,-0.29753902947748256,-0.06232127677993954,0,0
95,95,0,arolla,0.08071811530330571,-0.0334166038210153,0,0,-0.30204713094315105,-0.11898505797032352,0,0
96,96,0,arolla,0.08071811530330571,0.01946801156360012,0,0,-0.2890540765972809,-0.19120266949715997,0,0
97,97,0,arolla,0.08071811530330571,-0.07283968074409275,0,0,-0.2775726838658855,-0.2545013567462121,0,0
98,98,0,arolla,0.08071811530330571,-0.24110891151332314,0,0,-0.2559243494310597,-0.3082360834041046,0,0
99,99,0,arolla,0.08071811530330571,0.004083396178984344,0,0,-0.24422896404952277,-0.35693601660494195,0,0
100,100,0,arolla,0.08071811530330571,-0.11226275766716975,0,0,-0.23104364059219873,-0.4360513001719645,0,0
101,101,0,arolla,0.08071811530330571,-0.37957044997486156,0,0,-0.2418042545934317,-0.6303980705063141,0,0
102,102,0,arolla,0.08071811530330571,-0.6853396807440921,0,0,-0.17320671804572252,-0.6667680625585735,0,0
103,103,0,arolla,0.08071811530330571,-0.615147373051784,0,0,0.003773158379099084,-0.3833165906450025,0,0
104,104,0,arolla,0.08071811530330571,-0.48822429612870843,0,0,0.18602148924498685,-0.1619191501878738,0,0
105,105,0,arolla,0.08071811530330571,-0.14783968074409204,0,0,0.3044614950373682,0.037758324627158085,0,0
106,106,0,arolla,0.08071811530330571,0.13292955002513818,0,0,0.3700109997509956,0.16972842487217132,0,0
107,107,0,arolla,0.08071811530330571,0.3290833961789845,0,0,0.44092177377621,0.31144968812451973,0,0
108,108,0,arolla,0.08071811530330571,0.6588910884866768,0,0,0.47697612307944326,0.39050715787945073,0,0
109,109,0,arolla,0.08071811530330571,0.9108141654097541,0,0,0.4600810493879698,0.4341807254153248,0,0
110,110,0,arolla,0.08071811530330571,1.0011987807943687,0,0,0.43014134807934623,0.47397643182916877,0,0
111,111,0,arolla,0.08071811530330571,0.8790833961789848,0,0,0.33054776218949644,0.44319603290233095,0,0
112,112,0,arolla,0.08071811530330571,0.5867757038712926,0,0,0.19626309988106072,0.4012551849295479,0,0
113,113,0,arolla,0.08071811530330571,0.28966031925590796,0,0,0.017717352308104672,0.3450591759557514,0,0
114,114,0,arolla,0.08071811530330571,-0.5199550653594773,0,0,-0.11637846092910864,0.2559089753370363,0,0
115,115,0,arolla,0.08071811530330571,-0.5786089115133235,0,0,-0.21523519290711235,0.19053007487907409,0,0
116,116,0,arolla,0.08071811530330571,-0.6055319884363999,0,0,-0.27000179946702896,0.09594043082458742,0,0
117,117,0,arolla,0.08071811530330571,-0.19058100804424338,0,0,-0.3028793502150974,0.021145007496289697,0,0
118,118,0,arolla,0.08071811530330571,-0.1415614002011063,0,0,-0.29753902947748256,-0.06232127677993954,0,0
119,119,0,arolla,0.08071811530330571,-0.0334166038210153,0,0,-0.30204713094315105,-0.11898505797032352,0,0
120,120,0,arolla,0.08071811530330571,0.01946801156360012,0,0,-0.2890540765972809,-0.19120266949715997,0,0
121,121,0,arolla,0.08071811530330571,-0.07283968074409275,0,0,-0.2775726838658855,-0.2545013567462121,0,0
122,122,0,arolla,0.08071811530330571,-0.24110891151332314,0,0,-0.2559243494310597,-0.3082360834041046,0,0
123,123,0,arolla,0.08071811530330571,0.004083396178984344,0,0,-0.24422896404952277,-0.35693601660494195,0,0
124,124,0,arolla,0.08071811530330571,-0.11226275766716975,0,0,-0.23104364059219873,-0.4360513001719645,0,0
125,125,0,arolla,0.08071811530330571,-0.37957044997486156,0,0,-0.2418042545934317,-0.6303980705063141,0,0
126,126,0,arolla,0.08071811530330571,-0.6853396807440921,0,0,-0.17320671804572252,-0.6667680625585735,0,0
127,127,0,arolla,0.08071811530330571,-0.615147373051784,0,0,0.003773158379099084,-0.3833165906450025,0,0
128,128,0,arolla,0.08071811530330571,-0.48822429612870843,0,0,0.18602148924498685,-0.1619191501878738,0,0
129,129,0,arolla,0.08071811530330571,-0.14783968074409204,0,0,0.3044614950373682,0.037758324627158085,0,0
130,130,0,arolla,0.08071811530330571,0.13292955002513818,0,0,0.3700109997509956,0.16972842487217132,0,0
131,131,0,arolla,0.08071811530330571,0.3290833961789845,0,0,0.44092177377621,0.31144968812451973,0,0
132,132,0,arolla,0.08071811530330571,0.6588910884866768,0,0,0.47697612307944326,0.39050715787945073,0,0
